datetime,TWL,WS2M,T2M,SLP,WD2M
2026-03-25 00:00:00,3224.0,1.33,23.78,101.8,226.2
2026-03-25 01:00:00,3251.0,0.84,23.57,101.77,241.6
2026-03-25 02:00:00,3356.0,0.3,23.41,101.75,260.5
2026-03-25 03:00:00,3515.0,0.29,23.26,101.75,54.7
2026-03-25 04:00:00,3653.0,0.82,23.21,101.77,67.8
2026-03-25 05:00:00,3780.0,1.25,23.29,101.81,78.0
2026-03-25 06:00:00,3866.0,1.6,23.37,101.86,91.8
2026-03-25 07:00:00,3883.0,1.96,23.74,101.92,103.3
2026-03-25 08:00:00,3825.0,2.26,24.08,101.98,109.6
2026-03-25 09:00:00,3692.0,2.47,24.39,102.02,111.6
2026-03-25 10:00:00,3572.0,2.73,24.7,102.04,113.1
2026-03-25 11:00:00,3474.0,3.09,24.93,102.0,114.5
2026-03-25 12:00:00,3395.0,3.5,25.05,101.93,116.1
2026-03-25 13:00:00,3364.0,3.78,25.07,101.84,117.8
2026-03-25 14:00:00,3411.0,3.83,25.07,101.79,117.5
2026-03-25 15:00:00,3526.0,3.77,25.03,101.78,115.1
2026-03-25 16:00:00,3652.0,3.75,24.88,101.79,111.0
2026-03-25 17:00:00,3753.0,3.73,24.62,101.82,104.3
2026-03-25 18:00:00,3836.0,3.64,24.25,101.85,96.6
2026-03-25 19:00:00,3858.0,3.88,24.06,101.88,93.5
2026-03-25 20:00:00,3775.0,4.23,23.97,101.92,96.8
2026-03-25 21:00:00,3639.0,4.47,23.92,101.94,101.1
2026-03-25 22:00:00,3519.0,4.5,23.9,101.96,102.7
2026-03-25 23:00:00,3397.0,4.34,23.9,101.96,101.6
2026-03-26 00:00:00,3292.0,4.16,23.85,101.93,98.9
2026-03-26 01:00:00,3234.0,4.0,23.77,101.88,95.6
2026-03-26 02:00:00,3246.0,3.87,23.71,101.84,92.1
2026-03-26 03:00:00,3343.0,3.84,23.68,101.81,87.9
2026-03-26 04:00:00,3480.0,3.79,23.64,101.8,85.8
2026-03-26 05:00:00,3608.0,3.73,23.63,101.83,86.0
2026-03-26 06:00:00,3730.0,3.75,23.74,101.89,86.9
2026-03-26 07:00:00,3820.0,3.9,24.18,101.97,84.4
2026-03-26 08:00:00,3856.0,4.01,24.5,102.05,78.0
2026-03-26 09:00:00,3807.0,4.11,24.77,102.1,72.7
2026-03-26 10:00:00,3682.0,4.19,25.04,102.1,69.6
2026-03-26 11:00:00,3568.0,4.22,25.28,102.06,68.5
2026-03-26 12:00:00,3471.0,4.24,25.41,101.98,68.0
2026-03-26 13:00:00,3388.0,4.29,25.45,101.9,67.7
2026-03-26 14:00:00,3363.0,4.45,25.42,101.83,67.4
2026-03-26 15:00:00,3402.0,4.69,25.33,101.8,67.7
2026-03-26 16:00:00,3500.0,4.92,25.13,101.81,69.3
2026-03-26 17:00:00,3614.0,4.98,24.85,101.83,71.6
2026-03-26 18:00:00,3709.0,4.81,24.48,101.87,74.3
2026-03-26 19:00:00,3786.0,4.68,24.26,101.9,76.9
2026-03-26 20:00:00,3822.0,4.61,24.19,101.93,79.8
2026-03-26 21:00:00,3781.0,4.53,24.17,101.95,82.8
2026-03-26 22:00:00,3660.0,4.51,24.17,101.93,86.3
2026-03-26 23:00:00,3529.0,4.56,24.19,101.88,89.9
2026-03-27 00:00:00,3407.0,4.62,24.22,101.83,93.0
2026-03-27 01:00:00,3299.0,4.68,24.23,101.78,95.1
2026-03-27 02:00:00,3227.0,4.73,24.26,101.74,97.1
2026-03-27 03:00:00,3219.0,4.75,24.26,101.74,99.3
2026-03-27 04:00:00,3292.0,4.67,24.23,101.76,101.6
2026-03-27 05:00:00,3417.0,4.47,24.23,101.8,102.5
2026-03-27 06:00:00,3541.0,4.24,24.3,101.87,99.8
2026-03-27 07:00:00,3654.0,4.22,24.66,101.95,94.9
2026-03-27 08:00:00,3750.0,4.2,24.89,101.99,92.2
2026-03-27 09:00:00,3795.0,4.15,25.12,102.0,91.7
2026-03-27 10:00:00,3764.0,4.13,25.33,101.99,90.8
2026-03-27 11:00:00,3643.0,4.13,25.51,101.96,88.6
2026-03-27 12:00:00,3515.0,4.14,25.65,101.91,86.5
2026-03-27 13:00:00,3402.0,4.14,25.72,101.83,87.1
2026-03-27 14:00:00,3320.0,4.12,25.7,101.76,89.6
2026-03-27 15:00:00,3295.0,4.07,25.65,101.71,92.1
2026-03-27 16:00:00,3341.0,3.98,25.53,101.69,92.3
2026-03-27 17:00:00,3447.0,3.89,25.33,101.72,90.7
2026-03-27 18:00:00,3564.0,3.76,25.01,101.77,88.0
2026-03-27 19:00:00,3658.0,3.83,24.83,101.83,86.0
2026-03-27 20:00:00,3749.0,3.92,24.76,101.89,84.9
2026-03-27 21:00:00,3809.0,3.93,24.68,101.92,83.7
2026-03-27 22:00:00,3810.0,3.87,24.6,101.93,83.2
2026-03-27 23:00:00,3725.0,3.68,24.48,101.9,83.6
2026-03-28 00:00:00,3594.0,3.41,24.37,101.87,84.3
2026-03-28 01:00:00,3468.0,3.11,24.28,101.85,83.5
2026-03-28 02:00:00,3348.0,2.87,24.17,101.84,80.4
2026-03-28 03:00:00,3265.0,2.75,24.06,101.85,75.5
2026-03-28 04:00:00,3249.0,2.68,23.95,101.87,72.2
2026-03-28 05:00:00,3320.0,2.59,23.92,101.9,70.9
2026-03-28 06:00:00,3455.0,2.52,23.97,101.94,68.3
2026-03-28 07:00:00,3586.0,2.49,24.27,101.99,63.5
2026-03-28 08:00:00,3704.0,2.4,24.48,102.03,60.0
2026-03-28 09:00:00,3809.0,2.32,24.73,102.06,57.7
2026-03-28 10:00:00,3860.0,2.34,25.12,102.08,58.8
2026-03-28 11:00:00,3823.0,2.49,25.49,102.07,61.5
2026-03-28 12:00:00,3692.0,2.76,25.77,102.02,63.8
2026-03-28 13:00:00,3558.0,3.12,25.96,101.95,66.0
2026-03-28 14:00:00,3456.0,3.54,26.04,101.88,67.6
2026-03-28 15:00:00,3353.0,4.04,26.01,101.85,68.6
2026-03-28 16:00:00,3295.0,4.46,25.83,101.85,69.0
2026-03-28 17:00:00,3310.0,4.78,25.55,101.88,68.2
2026-03-28 18:00:00,3414.0,4.98,25.21,101.92,66.7
2026-03-28 19:00:00,3555.0,5.24,25.08,101.96,65.8
2026-03-28 20:00:00,3670.0,5.48,25.1,102.0,66.0
2026-03-28 21:00:00,3790.0,5.62,25.17,102.03,67.5
2026-03-28 22:00:00,3877.0,5.7,25.23,102.03,71.1
2026-03-28 23:00:00,3895.0,5.79,25.21,102.02,76.9
2026-03-29 00:00:00,3802.0,5.93,25.18,102.01,83.2
2026-03-29 01:00:00,3660.0,6.12,25.04,102.01,87.8
2026-03-29 02:00:00,3536.0,6.29,24.88,102.01,89.9
2026-03-29 03:00:00,3418.0,6.42,24.7,102.02,90.1
2026-03-29 04:00:00,3336.0,6.25,24.51,102.04,88.9
2026-03-29 05:00:00,3318.0,5.97,24.43,102.08,86.0
2026-03-29 06:00:00,3385.0,5.8,24.4,102.15,81.8
2026-03-29 07:00:00,3517.0,5.85,24.53,102.23,77.4
2026-03-29 08:00:00,3657.0,5.84,24.67,102.31,73.9
2026-03-29 09:00:00,3791.0,5.82,24.84,102.36,71.7
2026-03-29 10:00:00,3909.0,5.92,25.01,102.38,71.6
2026-03-29 11:00:00,3960.0,6.04,25.1,102.36,72.9
2026-03-29 12:00:00,3913.0,6.09,25.14,102.31,74.1
2026-03-29 13:00:00,3775.0,6.15,25.14,102.23,74.5
2026-03-29 14:00:00,3626.0,6.16,25.12,102.17,74.7
2026-03-29 15:00:00,3486.0,6.09,25.08,102.14,75.0
2026-03-29 16:00:00,3373.0,6.19,25.01,102.15,75.2
2026-03-29 17:00:00,3315.0,6.53,24.88,102.17,75.5
2026-03-29 18:00:00,3340.0,6.86,24.68,102.21,76.2
2026-03-29 19:00:00,3440.0,7.06,24.55,102.24,78.3
2026-03-29 20:00:00,3573.0,7.22,24.45,102.28,80.7
2026-03-29 21:00:00,3700.0,7.3,24.32,102.32,82.7
2026-03-29 22:00:00,3825.0,7.43,24.11,102.32,84.3
2026-03-29 23:00:00,3922.0,7.47,23.97,102.3,85.3
2026-03-30 00:00:00,3937.0,7.47,23.9,102.26,85.4
2026-03-30 01:00:00,3835.0,7.39,23.88,102.22,85.3
2026-03-30 02:00:00,3683.0,7.29,23.87,102.18,85.2
2026-03-30 03:00:00,3540.0,7.32,23.86,102.15,85.9
2026-03-30 04:00:00,3408.0,7.36,23.85,102.15,86.9
2026-03-30 05:00:00,3324.0,7.39,23.89,102.19,88.8
2026-03-30 06:00:00,3313.0,7.31,23.96,102.24,91.1
2026-03-30 07:00:00,3374.0,7.29,24.15,102.31,93.3
2026-03-30 08:00:00,3514.0,7.23,24.34,102.36,94.8
2026-03-30 09:00:00,3672.0,7.11,24.51,102.38,95.4
2026-03-30 10:00:00,3823.0,6.98,24.76,102.38,95.4
2026-03-30 11:00:00,3934.0,6.95,24.99,102.35,94.3
2026-03-30 12:00:00,3975.0,7.02,25.09,102.3,93.3
2026-03-30 13:00:00,3930.0,7.15,25.14,102.24,92.8
2026-03-30 14:00:00,3789.0,7.27,25.18,102.18,92.1
2026-03-30 15:00:00,3634.0,7.32,25.2,102.15,90.7
2026-03-30 16:00:00,3503.0,7.28,25.13,102.15,89.0
2026-03-30 17:00:00,3384.0,7.16,24.98,102.19,87.3
2026-03-30 18:00:00,3333.0,7.25,24.8,102.23,86.4
2026-03-30 19:00:00,3375.0,7.39,24.71,102.26,86.7
2026-03-30 20:00:00,3484.0,7.47,24.73,102.31,87.5
2026-03-30 21:00:00,3645.0,7.45,24.74,102.35,88.5
2026-03-30 22:00:00,3790.0,7.51,24.71,102.34,90.1
2026-03-30 23:00:00,3920.0,7.57,24.67,102.31,92.4
2026-03-31 00:00:00,4005.0,7.54,24.59,102.27,95.3
2026-03-31 01:00:00,4000.0,7.49,24.49,102.23,97.7
2026-03-31 02:00:00,3864.0,7.45,24.39,102.19,98.4
2026-03-31 03:00:00,3697.0,7.27,24.3,102.18,98.3
2026-03-31 04:00:00,3542.0,6.91,24.25,102.19,97.1
2026-03-31 05:00:00,3411.0,6.58,24.21,102.23,94.9
2026-03-31 06:00:00,3326.0,6.33,24.23,102.27,92.7
2026-03-31 07:00:00,3321.0,6.21,24.44,102.32,90.6
2026-03-31 08:00:00,3397.0,5.99,24.59,102.35,87.9
2026-03-31 09:00:00,3545.0,5.86,24.77,102.36,83.9
2026-03-31 10:00:00,3686.0,5.92,24.99,102.34,79.8
2026-03-31 11:00:00,3803.0,6.09,25.14,102.31,77.1
2026-03-31 12:00:00,3902.0,6.27,25.19,102.24,75.3
2026-03-31 13:00:00,3925.0,6.37,25.18,102.17,74.0
2026-03-31 14:00:00,3814.0,6.45,25.13,102.1,73.1
2026-03-31 15:00:00,3640.0,6.54,25.05,102.04,72.3
2026-03-31 16:00:00,3482.0,6.55,24.91,102.02,72.6
