YEAR,MO,DY,HR,TWL
2018,1,1,0,3874
2018,1,1,1,3871
2018,1,1,2,3694
2018,1,1,3,3492
2018,1,1,4,3327
2018,1,1,5,3167
2018,1,1,6,3069
2018,1,1,7,3052
2018,1,1,8,3151
2018,1,1,9,3330
2018,1,1,10,3525
2018,1,1,11,3719
2018,1,1,12,3891
2018,1,1,13,3973
2018,1,1,14,3922
2018,1,1,15,3712
2018,1,1,16,3511
2018,1,1,17,3375
2018,1,1,18,3245
2018,1,1,19,3180
2018,1,1,20,3233
2018,1,1,21,3376
2018,1,1,22,3565
2018,1,1,23,3715
2018,1,2,0,3866
2018,1,2,1,3956
2018,1,2,2,3887
2018,1,2,3,3696
2018,1,2,4,3498
2018,1,2,5,3317
2018,1,2,6,3148
2018,1,2,7,3053
2018,1,2,8,3057
2018,1,2,9,3170
2018,1,2,10,3352
2018,1,2,11,3570
2018,1,2,12,3762
2018,1,2,13,3926
2018,1,2,14,4014
2018,1,2,15,3973
2018,1,2,16,3757
2018,1,2,17,3562
2018,1,2,18,3393
2018,1,2,19,3258
2018,1,2,20,3209
2018,1,2,21,3247
2018,1,2,22,3399
2018,1,2,23,3580
2018,1,3,0,3777
2018,1,3,1,3935
2018,1,3,2,4033
2018,1,3,3,4014
2018,1,3,4,3838
2018,1,3,5,3617
2018,1,3,6,3438
2018,1,3,7,3278
2018,1,3,8,3204
2018,1,3,9,3212
2018,1,3,10,3326
2018,1,3,11,3529
2018,1,3,12,3714
2018,1,3,13,3914
2018,1,3,14,4074
2018,1,3,15,4137
2018,1,3,16,4037
2018,1,3,17,3776
2018,1,3,18,3535
2018,1,3,19,3354
2018,1,3,20,3236
2018,1,3,21,3192
2018,1,3,22,3261
2018,1,3,23,3424
2018,1,4,0,3641
2018,1,4,1,3820
2018,1,4,2,3964
2018,1,4,3,4033
2018,1,4,4,3977
2018,1,4,5,3774
2018,1,4,6,3557
2018,1,4,7,3369
2018,1,4,8,3228
2018,1,4,9,3139
2018,1,4,10,3163
2018,1,4,11,3269
2018,1,4,12,3454
2018,1,4,13,3660
2018,1,4,14,3844
2018,1,4,15,3982
2018,1,4,16,4007
2018,1,4,17,3907
2018,1,4,18,3694
2018,1,4,19,3515
2018,1,4,20,3339
2018,1,4,21,3242
2018,1,4,22,3220
2018,1,4,23,3292
2018,1,5,0,3452
2018,1,5,1,3634
2018,1,5,2,3805
2018,1,5,3,3949
2018,1,5,4,4020
2018,1,5,5,3931
2018,1,5,6,3723
2018,1,5,7,3519
2018,1,5,8,3358
2018,1,5,9,3210
2018,1,5,10,3122
2018,1,5,11,3151
2018,1,5,12,3291
2018,1,5,13,3478
2018,1,5,14,3649
2018,1,5,15,3821
2018,1,5,16,3955
2018,1,5,17,3989
2018,1,5,18,3850
2018,1,5,19,3648
2018,1,5,20,3493
2018,1,5,21,3344
2018,1,5,22,3244
2018,1,5,23,3214
2018,1,6,0,3286
2018,1,6,1,3432
2018,1,6,2,3592
2018,1,6,3,3724
2018,1,6,4,3860
2018,1,6,5,3923
2018,1,6,6,3848
2018,1,6,7,3665
2018,1,6,8,3471
2018,1,6,9,3306
2018,1,6,10,3183
2018,1,6,11,3125
2018,1,6,12,3159
2018,1,6,13,3290
2018,1,6,14,3468
2018,1,6,15,3638
2018,1,6,16,3800
2018,1,6,17,3908
2018,1,6,18,3904
2018,1,6,19,3759
2018,1,6,20,3559
2018,1,6,21,3402
2018,1,6,22,3278
2018,1,6,23,3207
2018,1,7,0,3186
2018,1,7,1,3258
2018,1,7,2,3386
2018,1,7,3,3528
2018,1,7,4,3682
2018,1,7,5,3804
2018,1,7,6,3854
2018,1,7,7,3795
2018,1,7,8,3628
2018,1,7,9,3468
2018,1,7,10,3338
2018,1,7,11,3246
2018,1,7,12,3196
2018,1,7,13,3234
2018,1,7,14,3370
2018,1,7,15,3518
2018,1,7,16,3648
2018,1,7,17,3793
2018,1,7,18,3865
2018,1,7,19,3839
2018,1,7,20,3694
2018,1,7,21,3545
2018,1,7,22,3417
2018,1,7,23,3313
2018,1,8,0,3213
2018,1,8,1,3218
2018,1,8,2,3276
2018,1,8,3,3419
2018,1,8,4,3558
2018,1,8,5,3682
2018,1,8,6,3791
2018,1,8,7,3841
2018,1,8,8,3773
2018,1,8,9,3633
2018,1,8,10,3507
2018,1,8,11,3391
2018,1,8,12,3293
2018,1,8,13,3270
2018,1,8,14,3321
2018,1,8,15,3439
2018,1,8,16,3576
2018,1,8,17,3682
2018,1,8,18,3796
2018,1,8,19,3846
2018,1,8,20,3784
2018,1,8,21,3649
2018,1,8,22,3524
2018,1,8,23,3403
2018,1,9,0,3296
2018,1,9,1,3225
2018,1,9,2,3211
2018,1,9,3,3267
2018,1,9,4,3401
2018,1,9,5,3533
2018,1,9,6,3635
2018,1,9,7,3730
2018,1,9,8,3762
2018,1,9,9,3702
2018,1,9,10,3585
2018,1,9,11,3459
2018,1,9,12,3356
2018,1,9,13,3272
2018,1,9,14,3254
2018,1,9,15,3273
2018,1,9,16,3391
2018,1,9,17,3514
2018,1,9,18,3606
